"gene","protocol_rho","effect_d"
"ADAMTS14",0.459486166007905,0.307858837406872
"ADAMTS15",0.422924901185771,0.69261969315944
"ADAMTS16",-0.281690149444611,-1.18530173046685
"ADAMTS16-DT",-0.266798418972332,-0.778788658226949
"ADAMTS17",0.258957260191186,0.610712588439848
"ADAMTS18",0.294466403162055,0.460001249594652
"ADAMTS19",0.0825302718548247,-0.186175471834934
"ADAMTS2",0.727946649354232,1.47501439125215
"ADAMTS20",-0.264393385882223,-0.739338775545962
"ADAMTS3",-0.446640316205534,-0.675975995519381
"ADAMTS4",0.708880086987496,1.84940481884872
"ADAMTS5",-0.265810276679842,-0.118219236387931
"ADAMTS6",0.101359731214129,0.192473307790029
"ADAMTS7",0.549048694794672,0.282329648745674
"ADAMTS8",-0.0869565217391304,0.0938211188358201
"ADAMTS9",0.0207509881422925,0.190459039522445
"ADAMTS9-AS1",0.510007428468138,0.418337923433093
"ADAMTS9-AS2",0.0958498023715415,-0.0198100081308864
"ADAMTSL1",0.363636363636364,0.961036738897179
"ADAMTSL2",0.404150197628458,0.347048896081674
"ADAMTSL3",0.371541501976285,0.765556326729658
"ADAMTSL4",0.633399209486166,0.95415944440878
"ADAMTSL4-AS2",0.254203883005997,0.403426681622782
"ADAMTSL5",0.170381899389433,0.111389221008972
"ADAP1",0.278656126482213,-0.211739402373122
"ADAP2",0.183794466403162,0.367895603914952
"ADAR",-0.837944664031621,-2.33325139286158
"ADARB1",-0.691699604743083,-2.77006379711303
"ADARB2",0.613636363636364,0.715048692921586
"ADARB2-AS1",0.410079051383399,0.26996240573769
"ADAT1",-0.373517786561265,-0.581113856790377
"ADAT2",-0.657114624505929,-1.65319051441094
"ADAT3",0.483201581027668,0.70393680940441
"ADCK1",-0.121541501976285,-0.292177534657846
"ADCK2",-0.289525691699605,-0.45862880703616
"ADCK5",0.077588339408428,0.241104142254696
"ADCY1",-0.476284584980237,-0.918834651770542
"ADCY10",0.195845793133025,-0.254695286866006
