genes,transfer_auc,within_auc
"LINC01792,ITIH5,RIMKLB",0.573076923076923,0.3538461538461538
"KL,MAK,CPS1",0.39230769230769236,0.6000000000000001
"MCM7,UEVLD,VILL",0.22307692307692306,0.7230769230769231
"LPCAT2,CHST1,TTC39C",0.7076923076923077,0.49230769230769234
"ADAMTS9,TPRG1L,CPVL-AS2",0.9,0.8615384615384616
"PRPF18,IGFBP3,ENTPD3",0.8461538461538461,0.8846153846153847
"CRACD,TPTEP1,RASD1",0.5,0.8923076923076922
"KLHL13,SLIT3,NEK6",0.8538461538461538,0.8615384615384616
"PCDHAC2,RGCC,UBQLN1",0.7615384615384615,0.6076923076923076
"NAPB,ZNF519,BBOF1",0.8076923076923077,0.8769230769230769
"SERINC5,PHF20L1,THAP2",0.9153846153846154,0.9076923076923077
"ELMOD1,DCX,GRAMD2A",0.7000000000000001,0.6692307692307693
"LY75,NIPAL2,SYT7",0.8538461538461538,0.8846153846153846
"KBTBD3,COL15A1,ZNF804A",0.4269230769230769,0.6769230769230768
